Bidenkaps gate,St. Hanshaugen
Biermanns gate,Sagene
Bikuben,Stovner
Bilittkroken,Søndre Nordstrand
Binneveien,Vestre Aker
Birch-Reichenwalds gate,Sagene
Birger Olivers vei,Nordstrand
Birger Aaneruds vei,Oslomarka
Birgitte Hammers vei,Nordstrand
Birkebeingata,Gamle Oslo
Biskop Grimelunds vei,Vestre Aker
Biskop Gunnerus' gate,Sentrum
Biskop Heuchs vei,Nordre Aker
Biskop Jens Nilssøns gate,Gamle Oslo
Bislettgata,St. Hanshaugen
Bispegata,Sentrum / Gamle Oslo
Bispeluelia,Søndre Nordstrand
Bisp Nikolas' gate,Gamle Oslo
Bjartveien,Østensjø
Bjerggaten,St. Hanshaugen
Bjerkastien,Grorud
Bjerkealléen,Nordre Aker
Bjerkebakken,Vestre Aker
Bjerkefaret,Nordstrand
Bjerkelia,Nordstrand
Bjerkeliveien,Stovner
Bjerkelundgata,Grünerløkka
Bjerregaards gate,St. Hanshaugen
Bjerringbakken,Nordstrand
Bjølsengata,Sagene
Bjørkehavna,Oslomarka
Bjørn Bondes vei,Søndre Nordstrand
Bjørndalsjordet,Søndre Nordstrand
Bjørnefaret,Søndre Nordstrand
Bjørnehiet,Vestre Aker
Bjørnerabben,Ullern
Bjørnerudveien,Søndre Nordstrand
Bjørn Farmanns gate,Frogner
Bjørnheimveien,Stovner
Bjørn Lies vei,Søndre Nordstrand
Bjørn Magnussons vei,Søndre Nordstrand
Bjørnslettstubben,Ullern
Bjørnslettveien,Ullern
Bjørnstadbakken,Alna
Bjørn Stallares vei,Grünerløkka
Bjørnveien,Vestre Aker
Bjørnåsveien,Søndre Nordstrand
Blakkens vei,Søndre Nordstrand
Blindernveien,St. Hanshaugen / Nordre Aker
Blokkaveien,Ullern
Blytts gate,Grünerløkka
Blåbærsvingen,Vestre Aker
Blåsbortveien,Nordre Aker
Blåskjellveien,Nordstrand
Blåveisbakken,Vestre Aker
Bodøgata,Grünerløkka
Boecks gate,Gamle Oslo
Bogerudslyngen,Østensjø
Bogerudveien,Østensjø
Bogstadveien,Frogner
Bolette brygge,Frogner
Bolteløkka allé,St. Hanshaugen
Bomveien,Oslomarka
Borgenbakken,Vestre Aker
Borgensgangen,Grünerløkka
Borgenveien,Vestre Aker
Borger Withs gate,Sagene
Borgestadveien,Nordre Aker
Borggata,Gamle Oslo
Brageveien,St. Hanshaugen
Brandts gate,St. Hanshaugen
Brannfjellveien,Nordstrand
Brannvaktveien,Nordre Aker
Brantenborgveien,Vestre Aker
Brattbakken,Nordstrand
Brattelia,Nordre Aker
Brattlistubben,Søndre Nordstrand
Brattoddveien,Nordstrand
Brattvollveien,Nordstrand
Bredes vei,Stovner
Bredo Stabells vei,Nordre Aker
Bredtvetveien,Bjerke
Bregneveien,Nordre Aker
Breidablikkveien,Nordstrand
Breiens vei,Nordstrand
Breigata,Gamle Oslo
Breisjåveien,Grünerløkka
Breivollveien,Alna
Brekkelia,Nordre Aker
Brekkeveien,Nordre Aker
Brennagrenda,Søndre Nordstrand
Brennastubben,Søndre Nordstrand
Brennaveien,Søndre Nordstrand
Brenneriveien,Grünerløkka
Brettevilles gate,Sagene
Brinken,Gamle Oslo
Briskebyveien,Frogner
Briskeveien,Nordstrand
Brobekkveien,Bjerke
Brochmanns gate,Sagene
Brolandsveien,Stovner
Brubakkveien,Alna
Brugata,Sentrum / Grünerløkka
Brunas vei,Søndre Nordstrand
Bruns gate,Gamle Oslo
Bryggegangen,Sentrum
Bryggegangen,Frogner
Bryggegata,Frogner
Brynjeveien,Nordre Aker
Brynsalléen,Alna
Brynsengfaret,Alna / Gamle Oslo
Brynsengveien,Alna
Brynshøgda,Gamle Oslo / Alna
Brynsveien,Gamle Oslo
Brønnveien,Ullern
Bråtenalléen,Nordre Aker
Bueveien,Nordre Aker
Bukken Bruses vei,Nordre Aker
Bygdøy allé,Frogner
Bygdøy kapellvei,Frogner
Bygdøy terrasse,Frogner
Bygdøylund,Frogner
Bygdøynesveien,Frogner
Bygdøyveien,Frogner
Byggveien,Østensjø
Byklevegen,Alna
Byveien,Oslomarka
Bærumsveien,Ullern
Bøgata,Gamle Oslo
Bøkkerveien,Grünerløkka
Bølerbakken,Østensjø
Bølerlia,Østensjø
Bølerskogen,Østensjø
Bølerskrenten,Østensjø
Bølersletta,Østensjø
Bølersvingen,Østensjø
Bølerveien,Østensjø
Børrestuveien,Vestre Aker
Børsteveien,Grünerløkka
Båhusveien,Grünerløkka
Bålveien,Nordre Aker
Bånkallstubben,Stovner
Båntjernveien,Vestre Aker / Oslomarka
Bård Skolemesters vei,Bjerke
Calmeyers gate,St. Hanshaugen
Camilla Colletts vei,Frogner
C. A. Pihls gate,Frogner
Cappelens vei,Nordstrand
Carl Grøndahls vei,Nordre Aker
Carl Jeppesens gate,Sagene
Carl Kjelsens vei,Nordre Aker
Carl Lundgrens vei,Ullern
Casparis gate,St. Hanshaugen
Caspar Storms vei,Alna
Cathinka Guldbergs vei,St. Hanshaugen
Cato Guldbergs vei,Frogner
C. A. Torstensens vei,Ullern
Cecilie Thoresens vei,Nordstrand
Charlotte Andersens vei,Vestre Aker
Christen Smiths gate,Gamle Oslo
Christian Benneches vei,Frogner
Christian Frederiks vei,Frogner
Christian Krohgs gate,Grünerløkka
Christian Michelsens gate,Grünerløkka
Christian Schous vei,Nordre Aker
Christies gate,Grünerløkka
Christoffer Hellums vei,Grorud
Christopher Hansteens vei,Nordre Aker
Christophers vei,Nordre Aker
Claus Borchs vei,Nordre Aker
Claus Riis' gate,Sagene
Clemens' gate,Gamle Oslo
Colbjørnsens gate,Frogner
Colletts gate,St. Hanshaugen / Sagene
Conrad Hemsens vei,Frogner
Conradis gate,Grünerløkka
Cort Adelers gate,Frogner
Dagalikroken,Vestre Aker
Dagalistien,Vestre Aker
Dagaliveien,Vestre Aker
Dag Hammarskjölds vei,Bjerke
Dagmarbakken,Grorud
Dalbakkveien,Østensjø
Dalehaugen,Gamle Oslo
Dalerudveien,Østensjø
Dalheimveien,Nordstrand
Dalsbergstien,St. Hanshaugen
Dalskroken,Vestre Aker
Dalsløkka,Søndre Nordstrand
Dalsnaret,Nordstrand
Dalsroa,Søndre Nordstrand
Dalssvingen,Søndre Nordstrand
Dalsveien,Vestre Aker
Dalsåsen,Søndre Nordstrand
Damfaret,Østensjø
Damkroken,Vestre Aker
Damlihaugen,Ullern
Damliveien,Ullern
Dammanns vei,Frogner
Damstredet,St. Hanshaugen
Damveien,Nordre Aker
Daniel Walstads vei,Nordre Aker
Danmarks gate,Gamle Oslo
Dannevigsveien,Sagene
Darres gate,Grünerløkka
Deichmans gate,St. Hanshaugen / Grünerløkka
Delebekken,Søndre Nordstrand
Diakonveien,Vestre Aker
Diriks' gate,St. Hanshaugen
Disengrenda,Nordre Aker
Disenveien,Nordre Aker
Dokkveien,Frogner
Doktor Baches vei,Ullern
Doktor Holms vei,Vestre Aker
Doktor Kloumanns vei,Grorud
Doktor Londons vei,Grorud
Doktor Rustads vei,Ullern
Doktor Smiths vei,Nordre Aker
Dops gate,St. Hanshaugen
Dorthes vei,Frogner
Dovregata,St. Hanshaugen
Dovresvingen,Nordstrand
Dragonstien,Alna
Drammensveien,Frogner / Ullern
Dr. Dedichens vei,Alna
Drivhusveien,Østensjø
Dronning Astrids gate,Frogner
Dronning Blancas vei,Frogner
Dronningen,Frogner
Dronningens gate,Sentrum
Dronning Eufemias gate,Gamle Oslo / Sentrum
Dronninghavnveien,Frogner
Dronning Margretes vei,Grünerløkka
Dronning Mauds gate,Sentrum
Drøbakgata,Sagene
Dråga,Nordstrand
Duehaugveien,Nordre Aker
Duggveien,Alna
Dugnadsveien,Bjerke
Dunkers gate,Frogner
Dybwads gate,Frogner
Dyna brygge,Frogner
Dynekilgata,Grünerløkka
Dyretråkket,Søndre Nordstrand
Dyrlandsveien,Nordre Aker
Dyvekes vei,Gamle Oslo
Dælenenggata,Grünerløkka
Dølerudveien,Oslomarka
Daas gate,Frogner
Ebbells gate,St. Hanshaugen
Eckersbergs gate,Frogner
Eddaveien,Vestre Aker
Edmund Neuperts gate,Sagene
Edvard Griegs allé,Sagene
Edvard Munchs vei,Alna
Edvard Storms gate,Sentrum
Eftasåsen,Østensjø
Egedes gate,Gamle Oslo
Egnehjemveien,Gamle Oslo
Egon Olsens allé,Gamle Oslo
Eikelundveien,Nordre Aker / Bjerke
Eikenga,Grünerløkka
Eikeveien,Nordstrand
Eilert Smiths vei,Alna
Eilert Sundts gate,Frogner
Einar Høigårds vei,Nordre Aker
Einar Skjæraasens vei,Vestre Aker
Einars vei,Grünerløkka
Eindrides vei,Grünerløkka
Einerveien,Nordstrand
Eirik Raudes vei,Gamle Oslo
Eiriks gate,Gamle Oslo
Eivind Astrups gate,Frogner
Ekebergstien,Nordstrand
Ekebergveien,Gamle Oslo / Nordstrand
Ekelyveien,Vestre Aker
Ekornveien,Vestre Aker
Ekraveien,Vestre Aker
Elgtråkket,Søndre Nordstrand
Elgveien,Nordre Aker
Elias Blix' gate,St. Hanshaugen
Elisenbergveien,Frogner
Ellefs vei,Stovner
